,price,proc_cores,proc_speed,mem_cap,storage_cap,ssd,integrated,nvidia,ssdcap,corespeed**2,ddr4,ssdddr4,nvidia_ssd
267,209,4.0,3.2,4.0,500.0,0,1,0,0.0,163.84000000000003,0,0,0
268,405,4.0,3.0,8.0,1024.0,0,1,0,0.0,144.0,0,0,0
269,92,2.0,3.0,4.0,160.0,0,1,0,0.0,36.0,0,0,0
270,154,4.0,3.2,4.0,250.0,0,1,0,0.0,163.84000000000003,0,0,0
271,118,4.0,3.2,4.0,250.0,0,1,0,0.0,163.84000000000003,0,0,0
272,123,4.0,3.1,4.0,500.0,0,1,0,0.0,153.76000000000005,0,0,0
273,124,4.0,3.1,4.0,250.0,0,1,0,0.0,153.76000000000005,0,0,0
274,129,2.0,3.1,4.0,250.0,0,1,0,0.0,38.44000000000001,0,0,0
275,395,6.0,3.6,8.0,500.0,0,1,0,0.0,466.56000000000006,0,0,0
276,154,4.0,2.5,4.0,250.0,0,1,0,0.0,100.0,0,0,0
277,229,4.0,3.2,4.0,500.0,0,1,0,0.0,163.84000000000003,0,0,0
278,299,4.0,3.2,8.0,500.0,0,1,0,0.0,163.84000000000003,0,0,0
279,313,4.0,3.2,8.0,256.0,1,1,0,256.0,163.84000000000003,0,0,0
280,511,6.0,3.6,16.0,256.0,1,1,0,256.0,466.56000000000006,0,0,0
281,149,2.0,3.4,4.0,250.0,0,1,0,0.0,46.24,0,0,0
282,349,4.0,3.2,8.0,256.0,1,1,0,256.0,163.84000000000003,0,0,0
283,127,2.0,3.4,4.0,250.0,0,1,0,0.0,46.24,0,0,0
284,324,4.0,3.2,8.0,256.0,1,1,0,256.0,163.84000000000003,0,0,0
285,349,4.0,3.2,8.0,256.0,1,1,0,256.0,163.84000000000003,0,0,0
286,244,4.0,3.2,8.0,500.0,0,1,0,0.0,163.84000000000003,0,0,0
287,344,4.0,3.2,8.0,256.0,1,1,0,256.0,163.84000000000003,0,0,0
288,329,4.0,3.2,8.0,256.0,1,1,0,256.0,163.84000000000003,0,0,0
289,109,2.0,3.4,4.0,250.0,0,1,0,0.0,46.24,0,0,0
290,779,6.0,3.2,12.0,1024.0,0,1,0,0.0,368.64000000000016,1,0,0
291,323,1.0,1.5,4.0,1024.0,0,1,0,0.0,2.25,1,0,0
292,149,4.0,3.2,4.0,500.0,0,1,0,0.0,163.84000000000003,0,0,0
293,97,2.0,3.1,4.0,250.0,0,1,0,0.0,38.44000000000001,0,0,0
294,139,2.0,3.4,4.0,500.0,0,1,0,0.0,46.24,0,0,0
295,124,4.0,3.1,4.0,250.0,0,1,0,0.0,153.76000000000005,0,0,0
296,99,2.0,3.1,4.0,250.0,0,1,0,0.0,38.44000000000001,0,0,0
297,264,4.0,3.2,8.0,500.0,0,1,0,0.0,163.84000000000003,0,0,0
298,155,2.0,3.1,4.0,1024.0,0,1,0,0.0,38.44000000000001,0,0,0
299,209,4.0,3.1,4.0,1024.0,0,1,0,0.0,153.76000000000005,0,0,0
300,163,4.0,3.1,4.0,1024.0,0,1,0,0.0,153.76000000000005,0,0,0
301,123,2.0,3.0,4.0,250.0,0,1,0,0.0,36.0,0,0,0
302,116,4.0,3.2,4.0,250.0,0,1,0,0.0,163.84000000000003,0,0,0
303,128,4.0,3.2,4.0,250.0,0,1,0,0.0,163.84000000000003,0,0,0
304,121,2.0,3.3,4.0,500.0,0,1,0,0.0,43.56,0,0,0
305,139,4.0,3.1,4.0,250.0,0,1,0,0.0,153.76000000000005,0,0,0
306,147,4.0,3.1,4.0,250.0,0,1,0,0.0,153.76000000000005,0,0,0
307,121,4.0,3.2,4.0,250.0,0,1,0,0.0,163.84000000000003,0,0,0
308,123,2.0,3.2,4.0,250.0,0,1,0,0.0,40.96000000000001,0,0,0
309,204,4.0,3.2,8.0,500.0,0,1,0,0.0,163.84000000000003,0,0,0
310,159,4.0,3.2,4.0,250.0,0,1,0,0.0,163.84000000000003,0,0,0
311,119,2.0,3.3,4.0,250.0,0,1,0,0.0,43.56,0,0,0
312,339,2.0,3.0,8.0,128.0,1,1,0,128.0,36.0,0,0,0
313,589,4.0,3.1,8.0,1024.0,0,1,0,0.0,153.76000000000005,1,0,0
314,949,6.0,3.1,16.0,1024.0,0,0,1,0.0,345.9600000000001,0,0,0
315,144,4.0,3.2,8.0,250.0,0,1,0,0.0,163.84000000000003,0,0,0
316,449,4.0,3.0,12.0,2048.0,0,1,0,0.0,144.0,0,0,0
317,299,2.0,3.9,8.0,1024.0,0,1,0,0.0,60.84,0,0,0
318,279,2.0,3.4,8.0,1024.0,0,1,0,0.0,46.24,0,0,0
319,449,2.0,3.6,8.0,1024.0,0,1,0,0.0,51.84,1,0,0
320,989,6.0,3.2,8.0,1024.0,1,0,1,1024.0,368.64000000000016,1,1,1
321,1231,6.0,3.2,8.0,1024.0,0,0,1,0.0,368.64000000000016,1,0,0
322,943,6.0,3.2,8.0,1024.0,0,0,1,0.0,368.64000000000016,1,0,0
323,430,2.0,3.6,4.0,1024.0,0,1,0,0.0,51.84,1,0,0
324,179,4.0,3.2,8.0,500.0,0,1,0,0.0,163.84000000000003,0,0,0
325,113,2.0,3.3,4.0,250.0,0,1,0,0.0,43.56,0,0,0
326,296,2.0,3.1,8.0,256.0,1,1,0,256.0,38.44000000000001,0,0,0
327,236,2.0,3.4,8.0,3072.0,0,1,0,0.0,46.24,0,0,0
328,141,4.0,3.2,4.0,250.0,0,1,0,0.0,163.84000000000003,0,0,0
329,364,6.0,3.4,8.0,500.0,0,1,0,0.0,416.16,0,0,0
330,460,6.0,3.4,16.0,2048.0,0,1,0,0.0,416.16,0,0,0
331,253,4.0,3.2,8.0,500.0,0,1,0,0.0,163.84000000000003,0,0,0
332,319,4.0,3.2,16.0,500.0,0,1,0,0.0,163.84000000000003,0,0,0
333,267,4.0,3.2,16.0,500.0,0,1,0,0.0,163.84000000000003,0,0,0
334,439,6.0,3.4,16.0,500.0,0,1,0,0.0,416.16,0,0,0
335,339,4.0,3.0,8.0,2048.0,0,1,0,0.0,144.0,1,0,0
336,799,4.0,3.0,8.0,1024.0,0,0,1,0.0,144.0,1,0,0
337,283,4.0,3.2,16.0,500.0,0,1,0,0.0,163.84000000000003,0,0,0
338,309,4.0,3.2,8.0,500.0,0,1,0,0.0,163.84000000000003,0,0,0
339,164,2.0,3.4,4.0,500.0,0,1,0,0.0,46.24,0,0,0
340,299,4.0,3.2,16.0,500.0,0,1,0,0.0,163.84000000000003,0,0,0
341,386,6.0,3.4,16.0,500.0,0,1,0,0.0,416.16,0,0,0
342,384,6.0,3.4,8.0,500.0,0,1,0,0.0,416.16,0,0,0
343,384,6.0,3.4,16.0,500.0,0,1,0,0.0,416.16,0,0,0
344,164,2.0,3.4,4.0,500.0,0,1,0,0.0,46.24,0,0,0
345,204,4.0,3.2,8.0,500.0,0,1,0,0.0,163.84000000000003,0,0,0
346,408,6.0,3.4,8.0,2048.0,0,1,0,0.0,416.16,0,0,0
347,251,4.0,3.2,8.0,500.0,0,1,0,0.0,163.84000000000003,0,0,0
348,266,4.0,3.2,8.0,2048.0,0,1,0,0.0,163.84000000000003,0,0,0
349,255,4.0,3.2,8.0,2048.0,0,1,0,0.0,163.84000000000003,0,0,0
350,149,4.0,3.2,4.0,250.0,0,1,0,0.0,163.84000000000003,0,0,0
351,463,2.0,3.9,4.0,1024.0,0,1,0,0.0,60.84,1,0,0
352,740,4.0,2.8,8.0,1024.0,0,0,1,0.0,125.43999999999998,1,0,0
353,1099,6.0,3.2,16.0,2048.0,0,0,1,0.0,368.64000000000016,1,0,0
354,124,4.0,3.1,4.0,250.0,0,1,0,0.0,153.76000000000005,0,0,0
355,115,2.0,3.3,4.0,120.0,1,1,0,120.0,43.56,0,0,0
356,126,4.0,3.1,4.0,250.0,0,1,0,0.0,153.76000000000005,0,0,0
357,85,2.0,3.0,4.0,160.0,0,1,0,0.0,36.0,0,0,0
358,831,6.0,3.2,16.0,2048.0,0,1,0,0.0,368.64000000000016,1,0,0
359,579,2.0,3.9,4.0,500.0,0,1,0,0.0,60.84,1,0,0
360,1009,6.0,3.6,8.0,1024.0,0,1,0,0.0,466.56000000000006,1,0,0
361,955,4.0,3.4,8.0,500.0,1,1,0,500.0,184.96,1,1,0
362,632,2.0,3.9,4.0,500.0,0,1,0,0.0,60.84,1,0,0
363,1202,6.0,3.6,16.0,512.0,1,1,0,512.0,466.56000000000006,1,1,0
364,549,4.0,3.4,8.0,500.0,0,1,0,0.0,184.96,1,0,0
365,499,4.0,3.4,4.0,500.0,0,1,0,0.0,184.96,1,0,0
366,599,4.0,3.4,4.0,500.0,0,1,0,0.0,184.96,1,0,0
367,989,4.0,3.4,8.0,512.0,1,1,0,512.0,184.96,1,1,0
368,1342,6.0,3.6,16.0,512.0,1,1,0,512.0,466.56000000000006,1,1,0
369,656,4.0,3.4,4.0,500.0,0,1,0,0.0,184.96,1,0,0
370,899,6.0,2.9,8.0,256.0,1,1,0,256.0,302.75999999999993,1,1,0
371,1020,6.0,3.6,8.0,256.0,1,1,0,256.0,466.56000000000006,1,1,0
372,729,4.0,2.7,4.0,500.0,0,1,0,0.0,116.64,1,0,0
373,174,2.0,3.6,8.0,500.0,0,1,0,0.0,51.84,0,0,0
374,281,6.0,3.4,8.0,500.0,0,1,0,0.0,416.16,0,0,0
375,184,2.0,3.4,8.0,500.0,0,1,0,0.0,46.24,0,0,0
376,156,2.0,3.4,4.0,500.0,0,1,0,0.0,46.24,0,0,0
377,298,6.0,3.4,8.0,2048.0,0,1,0,0.0,416.16,0,0,0
378,1041,4.0,3.2,8.0,256.0,1,1,0,256.0,163.84000000000003,1,1,0
379,281,6.0,3.4,8.0,500.0,0,1,0,0.0,416.16,0,0,0
380,224,6.0,2.6,8.0,500.0,0,1,0,0.0,243.36000000000004,0,0,0
381,310,6.0,3.4,8.0,2048.0,0,1,0,0.0,416.16,0,0,0
382,257,6.0,3.4,8.0,500.0,0,1,0,0.0,416.16,0,0,0
383,325,6.0,3.4,8.0,2048.0,0,1,0,0.0,416.16,0,0,0
384,282,6.0,3.4,8.0,500.0,0,1,0,0.0,416.16,0,0,0
385,343,6.0,3.4,8.0,2048.0,0,1,0,0.0,416.16,0,0,0
386,359,6.0,3.4,8.0,500.0,0,1,0,0.0,416.16,0,0,0
387,319,6.0,3.4,8.0,2048.0,0,1,0,0.0,416.16,0,0,0
388,283,6.0,3.4,8.0,500.0,0,1,0,0.0,416.16,0,0,0
389,209,4.0,3.2,8.0,500.0,0,1,0,0.0,163.84000000000003,0,0,0
390,80,2.0,2.9,4.0,80.0,0,1,0,0.0,33.64,0,0,0
391,144,2.0,3.1,4.0,320.0,0,1,0,0.0,38.44000000000001,0,0,0
392,212,4.0,3.4,8.0,500.0,0,1,0,0.0,184.96,0,0,0
393,143,2.0,3.3,4.0,320.0,0,1,0,0.0,43.56,0,0,0
394,310,6.0,3.4,8.0,500.0,0,1,0,0.0,416.16,0,0,0
395,417,6.0,3.4,16.0,2048.0,0,1,0,0.0,416.16,0,0,0
396,222,4.0,3.4,8.0,500.0,0,1,0,0.0,184.96,0,0,0
397,299,4.0,3.1,4.0,250.0,0,1,0,0.0,153.76000000000005,0,0,0
398,299,2.0,3.3,4.0,250.0,0,1,0,0.0,43.56,0,0,0
399,179,4.0,2.6,4.0,500.0,0,1,0,0.0,108.16,0,0,0
400,254,4.0,3.2,8.0,500.0,0,1,0,0.0,163.84000000000003,0,0,0
401,372,6.0,3.4,8.0,500.0,0,1,0,0.0,416.16,0,0,0
402,79,2.0,2.9,4.0,160.0,0,1,0,0.0,33.64,0,0,0
403,425,6.0,3.4,16.0,500.0,0,1,0,0.0,416.16,0,0,0
404,184,4.0,3.1,4.0,250.0,0,1,0,0.0,153.76000000000005,0,0,0
405,291,4.0,3.2,8.0,2048.0,0,1,0,0.0,163.84000000000003,0,0,0
406,356,6.0,3.4,8.0,500.0,0,1,0,0.0,416.16,0,0,0
407,371,6.0,3.4,8.0,2048.0,0,1,0,0.0,416.16,0,0,0
408,309,6.0,3.4,8.0,500.0,0,1,0,0.0,416.16,0,0,0
409,134,4.0,2.5,4.0,250.0,0,1,0,0.0,100.0,0,0,0
410,399,6.0,3.4,16.0,500.0,0,1,0,0.0,416.16,0,0,0
411,317,6.0,3.4,4.0,500.0,0,1,0,0.0,416.16,0,0,0
412,319,6.0,3.4,8.0,2048.0,0,1,0,0.0,416.16,0,0,0
413,150,4.0,2.5,4.0,250.0,0,1,0,0.0,100.0,0,0,0
414,1732,6.0,3.4,16.0,512.0,1,0,1,512.0,416.16,1,1,1
415,244,4.0,3.2,4.0,500.0,0,1,0,0.0,163.84000000000003,0,0,0
416,255,4.0,3.2,4.0,1024.0,0,1,0,0.0,163.84000000000003,0,0,0
417,277,4.0,3.2,8.0,1024.0,0,1,0,0.0,163.84000000000003,0,0,0
418,149,2.0,2.9,4.0,1024.0,0,1,0,0.0,33.64,0,0,0
419,99,2.0,2.3,4.0,250.0,0,1,0,0.0,21.16,0,0,0
420,134,2.0,2.8,4.0,1024.0,0,1,0,0.0,31.36,0,0,0
421,149,2.0,2.9,4.0,1024.0,0,1,0,0.0,33.64,0,0,0
422,99,2.0,2.8,4.0,250.0,0,1,0,0.0,31.36,0,0,0
423,127,2.0,2.9,4.0,250.0,0,1,0,0.0,33.64,0,0,0
424,129,2.0,2.9,4.0,250.0,0,1,0,0.0,33.64,0,0,0
425,214,4.0,3.1,4.0,1024.0,0,1,0,0.0,153.76000000000005,0,0,0
426,202,4.0,3.1,4.0,320.0,0,1,0,0.0,153.76000000000005,0,0,0
427,225,4.0,3.2,8.0,1024.0,0,1,0,0.0,163.84000000000003,0,0,0
428,272,6.0,3.4,8.0,500.0,0,1,0,0.0,416.16,0,0,0
429,218,4.0,3.2,8.0,120.0,1,1,0,120.0,163.84000000000003,0,0,0
430,302,6.0,3.4,8.0,500.0,0,1,0,0.0,416.16,0,0,0
431,461,6.0,3.4,8.0,500.0,0,1,0,0.0,416.16,0,0,0
432,499,4.0,3.2,4.0,500.0,0,1,0,0.0,163.84000000000003,1,0,0
433,129,2.0,3.1,4.0,500.0,0,1,0,0.0,38.44000000000001,0,0,0
434,169,4.0,3.1,4.0,500.0,0,1,0,0.0,153.76000000000005,0,0,0
435,213,4.0,3.1,8.0,500.0,0,1,0,0.0,153.76000000000005,0,0,0
436,149,2.0,3.3,4.0,500.0,0,1,0,0.0,43.56,0,0,0
437,112,2.0,3.0,4.0,250.0,0,1,0,0.0,36.0,0,0,0
438,669,6.0,3.4,16.0,3072.0,1,0,1,3072.0,416.16,0,0,1
439,244,4.0,3.1,8.0,120.0,1,1,0,120.0,153.76000000000005,0,0,0
440,267,4.0,3.1,8.0,2048.0,1,1,0,2048.0,153.76000000000005,0,0,0
441,559,6.0,3.4,16.0,2048.0,1,0,1,2048.0,416.16,0,0,1
442,282,4.0,3.2,8.0,240.0,1,1,0,240.0,163.84000000000003,0,0,0
443,296,4.0,3.2,8.0,3072.0,1,1,0,3072.0,163.84000000000003,0,0,0
444,299,4.0,3.1,16.0,2048.0,1,1,0,2048.0,153.76000000000005,0,0,0
445,310,4.0,3.1,16.0,240.0,1,1,0,240.0,153.76000000000005,0,0,0
446,307,4.0,3.2,16.0,2048.0,1,1,0,2048.0,163.84000000000003,0,0,0
447,234,4.0,3.1,8.0,120.0,1,1,0,120.0,153.76000000000005,0,0,0
448,352,4.0,3.2,16.0,2048.0,1,1,0,2048.0,163.84000000000003,0,0,0
449,333,4.0,3.2,8.0,3072.0,1,1,0,3072.0,163.84000000000003,0,0,0
450,240,4.0,3.4,8.0,500.0,0,1,0,0.0,184.96,0,0,0
451,161,2.0,3.3,4.0,250.0,0,1,0,0.0,43.56,0,0,0
452,222,4.0,3.4,8.0,500.0,0,1,0,0.0,184.96,0,0,0
453,147,2.0,3.3,4.0,250.0,0,1,0,0.0,43.56,0,0,0
454,331,6.0,3.4,8.0,500.0,0,1,0,0.0,416.16,0,0,0
455,142,2.0,3.3,4.0,250.0,0,1,0,0.0,43.56,0,0,0
456,163,4.0,3.1,4.0,250.0,0,1,0,0.0,153.76000000000005,0,0,0
457,216,4.0,3.4,8.0,500.0,0,1,0,0.0,184.96,0,0,0
458,178,4.0,3.1,4.0,250.0,0,1,0,0.0,153.76000000000005,0,0,0
459,848,4.0,2.5,8.0,256.0,1,1,0,256.0,100.0,1,1,0
460,799,4.0,2.5,8.0,256.0,1,1,0,256.0,100.0,1,1,0
461,127,2.0,3.3,4.0,250.0,0,1,0,0.0,43.56,0,0,0
462,435,6.0,3.4,8.0,2048.0,0,1,0,0.0,416.16,0,0,0
463,320,4.0,3.2,8.0,2048.0,0,1,0,0.0,163.84000000000003,0,0,0
464,264,4.0,3.2,8.0,2048.0,0,1,0,0.0,163.84000000000003,0,0,0
465,291,4.0,2.9,8.0,1024.0,0,1,0,0.0,134.56,0,0,0
466,203,4.0,3.1,8.0,500.0,0,1,0,0.0,153.76000000000005,0,0,0
467,206,4.0,3.1,8.0,500.0,0,1,0,0.0,153.76000000000005,0,0,0
468,244,4.0,3.2,4.0,250.0,0,1,0,0.0,163.84000000000003,0,0,0
469,230,4.0,2.5,8.0,2048.0,0,1,0,0.0,100.0,0,0,0
470,296,4.0,2.9,8.0,2048.0,0,1,0,0.0,134.56,0,0,0
471,293,4.0,2.9,8.0,256.0,1,1,0,256.0,134.56,0,0,0
472,141,1.0,2.6,4.0,500.0,0,1,0,0.0,6.760000000000002,0,0,0
473,141,1.0,2.6,4.0,500.0,0,1,0,0.0,6.760000000000002,0,0,0
474,149,4.0,2.5,4.0,250.0,0,1,0,0.0,100.0,0,0,0
475,127,1.0,3.1,4.0,250.0,0,1,0,0.0,9.61,0,0,0
476,170,4.0,2.5,4.0,250.0,0,1,0,0.0,100.0,0,0,0
477,204,4.0,2.9,4.0,250.0,0,1,0,0.0,134.56,0,0,0
478,199,4.0,2.9,8.0,500.0,0,1,0,0.0,134.56,0,0,0
479,236,4.0,2.9,8.0,1024.0,0,1,0,0.0,134.56,0,0,0
480,335,6.0,3.4,8.0,2048.0,0,1,0,0.0,416.16,0,0,0
481,186,2.0,3.3,4.0,320.0,0,1,0,0.0,43.56,0,0,0
482,384,6.0,3.4,16.0,2048.0,0,1,0,0.0,416.16,0,0,0
483,215,4.0,2.9,4.0,500.0,0,1,0,0.0,134.56,0,0,0
484,323,6.0,3.1,8.0,2048.0,0,1,0,0.0,345.9600000000001,0,0,0
485,243,4.0,3.4,8.0,2048.0,0,1,0,0.0,184.96,0,0,0
486,129,1.0,3.1,4.0,250.0,0,1,0,0.0,9.61,0,0,0
487,129,1.0,3.1,4.0,250.0,0,1,0,0.0,9.61,0,0,0
488,149,4.0,2.5,4.0,250.0,0,1,0,0.0,100.0,0,0,0
489,336,6.0,3.1,8.0,128.0,1,1,0,128.0,345.9600000000001,0,0,0
490,256,4.0,2.9,8.0,320.0,0,1,0,0.0,134.56,0,0,0
491,177,4.0,3.2,4.0,250.0,0,1,0,0.0,163.84000000000003,0,0,0
492,228,4.0,2.9,8.0,500.0,0,1,0,0.0,134.56,0,0,0
493,548,4.0,3.2,8.0,2048.0,0,1,0,0.0,163.84000000000003,0,0,0
494,160,2.0,3.3,4.0,250.0,0,1,0,0.0,43.56,0,0,0
495,207,4.0,2.9,8.0,250.0,0,1,0,0.0,134.56,0,0,0
496,207,4.0,2.9,4.0,500.0,0,1,0,0.0,134.56,0,0,0
497,187,4.0,2.5,8.0,320.0,0,1,0,0.0,100.0,0,0,0
498,231,4.0,3.2,8.0,2048.0,0,1,0,0.0,163.84000000000003,0,0,0
499,280,4.0,3.2,8.0,2048.0,0,1,0,0.0,163.84000000000003,0,0,0
500,579,6.0,3.4,8.0,2048.0,0,1,0,0.0,416.16,0,0,0
501,304,6.0,3.4,8.0,250.0,0,1,0,0.0,416.16,0,0,0
502,180,4.0,2.9,4.0,320.0,0,1,0,0.0,134.56,0,0,0
503,229,4.0,2.9,8.0,320.0,0,1,0,0.0,134.56,0,0,0
504,269,4.0,3.4,8.0,2048.0,0,1,0,0.0,184.96,0,0,0
505,197,4.0,2.9,4.0,320.0,0,1,0,0.0,134.56,0,0,0
506,330,6.0,3.1,8.0,2048.0,0,1,0,0.0,345.9600000000001,0,0,0
507,297,4.0,3.2,16.0,2048.0,0,1,0,0.0,163.84000000000003,0,0,0
508,224,4.0,3.2,8.0,1024.0,0,1,0,0.0,163.84000000000003,0,0,0
509,247,4.0,3.2,8.0,2048.0,0,1,0,0.0,163.84000000000003,0,0,0
510,303,6.0,3.4,8.0,1024.0,0,1,0,0.0,416.16,0,0,0
511,284,4.0,3.2,8.0,2048.0,0,1,0,0.0,163.84000000000003,0,0,0
512,320,6.0,3.4,8.0,2048.0,0,1,0,0.0,416.16,0,0,0
513,234,4.0,3.2,8.0,1024.0,0,1,0,0.0,163.84000000000003,0,0,0
514,280,4.0,3.2,8.0,2048.0,0,1,0,0.0,163.84000000000003,0,0,0
515,292,6.0,3.4,8.0,250.0,0,1,0,0.0,416.16,0,0,0
516,162,4.0,3.1,4.0,250.0,0,1,0,0.0,153.76000000000005,0,0,0
517,164,2.0,3.4,4.0,500.0,0,1,0,0.0,46.24,0,0,0
518,184,4.0,3.1,8.0,250.0,0,1,0,0.0,153.76000000000005,0,0,0
519,205,4.0,3.2,8.0,250.0,0,1,0,0.0,163.84000000000003,0,0,0
520,241,4.0,3.2,8.0,2048.0,0,1,0,0.0,163.84000000000003,0,0,0
521,239,4.0,3.2,8.0,2048.0,0,1,0,0.0,163.84000000000003,0,0,0
522,180,4.0,3.1,4.0,1024.0,0,1,0,0.0,153.76000000000005,0,0,0
523,364,6.0,3.4,16.0,2048.0,0,1,0,0.0,416.16,0,0,0
524,623,6.0,3.6,8.0,2048.0,0,1,0,0.0,466.56000000000006,0,0,0
525,222,4.0,3.1,8.0,2048.0,0,1,0,0.0,153.76000000000005,0,0,0
526,104,4.0,2.4,4.0,250.0,0,1,0,0.0,92.16,0,0,0
527,133,4.0,2.4,4.0,1024.0,0,1,0,0.0,92.16,0,0,0
528,222,4.0,3.1,8.0,1024.0,0,1,0,0.0,153.76000000000005,0,0,0
529,370,6.0,3.4,16.0,2048.0,0,1,0,0.0,416.16,0,0,0
530,289,4.0,3.2,16.0,2048.0,0,1,0,0.0,163.84000000000003,0,0,0
531,220,4.0,3.2,8.0,1024.0,0,1,0,0.0,163.84000000000003,0,0,0
532,351,6.0,3.4,8.0,1024.0,0,1,0,0.0,416.16,0,0,0
533,280,6.0,3.4,8.0,1024.0,0,1,0,0.0,416.16,0,0,0
534,246,4.0,3.1,4.0,1024.0,0,1,0,0.0,153.76000000000005,0,0,0
535,177,4.0,2.8,4.0,1024.0,0,1,0,0.0,125.43999999999998,0,0,0
536,260,4.0,3.1,8.0,2048.0,0,1,0,0.0,153.76000000000005,0,0,0
537,371,6.0,3.4,8.0,2048.0,0,1,0,0.0,416.16,0,0,0
538,333,6.0,3.4,8.0,250.0,0,1,0,0.0,416.16,0,0,0
539,194,4.0,3.2,4.0,1024.0,0,1,0,0.0,163.84000000000003,0,0,0
540,189,4.0,3.2,8.0,250.0,0,1,0,0.0,163.84000000000003,0,0,0
541,225,4.0,3.2,8.0,2048.0,0,1,0,0.0,163.84000000000003,0,0,0
542,304,4.0,3.1,16.0,2048.0,0,1,0,0.0,153.76000000000005,0,0,0
543,321,4.0,3.1,16.0,2048.0,0,1,0,0.0,153.76000000000005,0,0,0
544,364,6.0,3.4,16.0,2048.0,0,1,0,0.0,416.16,0,0,0
545,274,4.0,3.4,8.0,2048.0,0,1,0,0.0,184.96,0,0,0
546,407,6.0,3.4,16.0,2048.0,0,1,0,0.0,416.16,0,0,0
547,145,4.0,2.4,4.0,1024.0,0,1,0,0.0,92.16,0,0,0
548,271,4.0,3.1,8.0,2048.0,0,1,0,0.0,153.76000000000005,0,0,0
549,322,4.0,3.4,16.0,2048.0,0,1,0,0.0,184.96,0,0,0
550,189,4.0,3.1,4.0,1024.0,0,1,0,0.0,153.76000000000005,0,0,0
551,290,6.0,3.4,8.0,2048.0,0,1,0,0.0,416.16,0,0,0
552,234,4.0,3.4,4.0,1024.0,0,1,0,0.0,184.96,0,0,0
553,309,6.0,3.4,8.0,2048.0,0,1,0,0.0,416.16,0,0,0
